,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Anaheim Ducks,898.46,908.35,918.55,909.68,901.84,918.54,931.83,926.78,936.68,954.76,971.37,1075.32,1088.45,1097.98,1115.55,1093.52,1065.92,1044.25,1054.63,1065.73,1051.66,1062.52,1045.66,1056.4,1035.18,1048.94,1007.55,1023.15,1047.14,1057.93,1036.61,1010.58,1031.06,1014.78,995.07,1004.12,982.19,953.02,941.97,934.92,923.99,906.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Bruins,998.63,1004.43,1016.66,1010.58,1001.16,995.36,987.49,979.78,966.49,979.38,962.06,978.01,987.29,996.66,1009.83,1021.12,1038.67,1054.03,1034.31,1045.12,1028.5,1017.4,1029.06,1010.39,1029.22,1003.15,1013.32,998.82,1013.8,1031.91,1045.96,1061.14,1038.21,1055.53,1036.89,1022.01,997.89,973.65,956.45,945.92,977.16,986.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Sabres,1032.62,1020.39,1014.97,1029.23,1042.44,1031.08,1043.12,1052.72,1043.08,1034.03,1024.75,1032.33,979.67,954.17,939.65,921.91,911.69,926.77,954.38,926.04,964.58,991.29,973.77,950.62,967.14,993.16,974.01,952.3,932.66,947.08,957.2,971.86,991.83,1005.44,1021.39,1034.18,1051.38,1062.1,1085.55,1052.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Flames,1002.48,982.06,968.93,956.54,945.91,928.63,920.89,915.78,905.11,923.76,917.27,910.88,900.71,911.47,934.95,915.28,900.64,889.12,912.45,904.02,890.92,919.26,936.11,956.77,940.67,960.45,951.24,922.6,952.21,971.39,991.03,978.49,991.61,971.65,984.68,1006.91,984.87,999.34,1009.87,1034.61,1020.95,994.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,1028.84,1036.42,1049.49,1058.36,1064.47,1047.12,1058.89,1050.03,1033.14,1047.57,1038.2,1053.71,1062.17,1076.69,1086.6,1059.8,1067.88,1052.39,1069.01,1054.7,1066.42,1039.71,1019.82,1042.68,1051.89,1024.15,1039.19,1014.56,1031.24,1045.91,1057.6,1068.49,1083.24,1070.06,1051.49,1029.22,1050.4,1060.07,1027.11,1009.9,1002.62,1017.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,900.65,894.85,889.84,904.39,924.7,916.57,924.41,935.72,925.74,945.45,931.77,925.01,977.94,998.26,1017.93,1040.54,1028.65,1038.94,1052.04,1037.81,999.27,992.5,982.9,967.57,988.79,975.95,988.58,958.59,934.6,960.38,945.54,923.03,913.53,896.29,884.62,873.91,893.36,869.84,862.93,881.67,897.47,911.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche,1229.76,1232.93,1221.17,1226.59,1231.94,1237.74,1225.12,1213.35,1200.46,1188.77,1198.27,1203.5,1190.51,1061.12,1086.72,1094.64,1116.67,1126.89,1142.04,1154.53,1161.63,1168.4,1185.45,1169.68,1184.91,1190.72,1160.25,1168.28,1176.03,1156.31,1169.94,1177.57,1183.15,1187.95,1209.24,1214.39,1219.89,1228.28,1235.55,1242.83,1223.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,968.01,986.73,977.98,972.63,983.19,1002.21,987.8,997.03,1006.08,1019.56,1024.78,1016.14,1001.07,987.31,973.97,985.94,997.58,985.99,998.09,979.06,991.03,979.06,957.58,945.14,934.94,956.32,968.25,955.43,945.12,928.44,909.92,901.43,917.71,907.97,898.92,920.08,943.13,967.96,954.52,987.17,975.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Stars,1055.47,1067.23,1081.71,1065.02,1049.56,1030.54,1021.3,1030.16,1036.86,1044.63,1037.6,1028.76,995.4,982.27,991.7,1003.46,1015.66,1048.99,1070.37,1056.48,1068.22,1051.37,1070.69,1080.33,1089.02,1109.96,1094.57,1110.16,1123.92,1132.45,1138.84,1112.35,1079.74,1095.71,1109.29,1129.0,1142.47,1126.4,1106.95,1083.5,1064.76,1051.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Red Wings,997.47,1011.94,1019.63,1034.35,1043.79,1053.3,1041.26,1021.42,1029.79,1039.08,1046.04,1027.96,1033.97,1021.69,997.8,975.19,1002.79,987.71,1000.86,1017.98,991.99,1003.96,991.89,963.33,949.89,939.72,954.22,942.29,954.07,975.26,987.8,967.1,989.61,1004.76,981.45,1006.79,1019.71,1035.78,1014.6,1025.78,1033.9,1019.28,995.65,1013.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmonton Oilers,992.34,1001.47,1012.42,999.94,987.86,978.35,986.03,995.65,987.76,978.06,994.9,985.99,992.75,986.08,973.98,948.38,961.72,975.55,963.91,979.4,951.79,933.41,924.71,951.37,932.05,960.14,951.87,979.62,1003.66,989.24,1009.94,1031.19,1006.69,1021.32,1039.96,1024.62,1035.31,1057.35,1042.88,1054.11,1022.87,1000.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Panthers,1035.36,1042.97,1057.21,1041.21,1026.49,1013.13,999.92,1007.63,997.08,1010.74,1000.84,1009.68,969.85,991.82,975.18,988.26,1010.34,993.72,1012.77,1025.61,998.95,1016.45,998.77,978.99,958.05,944.46,957.28,984.3,995.57,981.94,1014.55,1039.0,1049.04,1062.22,1026.63,1048.9,1032.89,1048.45,1035.09,1005.5,1024.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Kings,995.92,1002.63,991.84,985.76,974.79,968.68,976.18,985.42,976.95,986.93,993.82,986.86,974.0,989.64,967.67,981.89,1011.36,1022.63,1034.43,1020.5,1007.54,995.88,1009.08,998.34,1007.69,994.16,981.53,1011.52,1026.88,1010.97,997.85,981.88,971.84,986.56,965.4,951.89,981.06,972.67,961.72,978.98,1001.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Wild,1095.41,1076.69,1082.77,1068.29,1049.89,1040.77,1050.18,1034.45,1018.34,1008.32,998.78,986.31,997.54,948.12,939.66,963.28,977.92,967.2,988.87,1001.21,1015.52,1042.61,1062.93,1072.53,1088.3,1071.78,1080.05,1050.44,1026.1,1040.96,1067.45,1076.65,1099.58,1123.44,1133.18,1148.52,1127.23,1110.46,1116.65,1130.61,1114.05,1124.98,1107.72,1084.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal Canadiens,1015.15,1031.07,1036.08,1043.8,1050.74,1040.95,1052.31,1057.42,1047.8,1052.94,1059.92,1066.43,1051.58,1038.95,1062.48,1033.01,999.68,988.87,976.77,955.09,976.55,989.18,1008.83,993.6,972.63,984.56,997.95,982.65,961.01,979.93,968.41,992.91,973.41,990.65,1010.03,994.46,1018.7,1008.95,1022.31,1039.52,1016.65,1030.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville Predators,1007.45,998.9,1012.42,997.7,990.76,974.25,957.55,964.81,973.28,966.58,956.99,946.05,956.22,930.77,918.96,906.64,897.21,880.39,896.92,879.96,872.86,855.36,883.92,899.25,883.24,911.88,925.47,910.43,930.15,954.75,947.12,964.6,949.85,968.49,980.96,997.73,982.5,994.37,1010.85,986.36,1000.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Devils,937.47,954.2,962.95,976.31,988.39,1002.89,1018.62,1027.33,1039.02,1029.52,1011.86,1024.72,1008.11,1045.92,1057.87,1043.65,1055.54,1065.23,1037.0,1024.16,1001.82,1013.89,1021.77,1044.92,1027.31,1005.93,990.34,968.77,950.66,963.65,946.93,972.96,957.89,972.11,984.58,968.63,958.56,947.75,925.94,939.38,963.69,948.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Islanders,1006.61,994.61,976.6,989.08,996.68,1003.27,1023.11,1014.91,998.96,984.53,996.97,1005.61,987.32,963.7,992.82,1007.04,1018.57,1030.22,1015.07,1028.96,1054.95,1037.41,1048.56,1029.73,1017.38,999.19,1015.24,1045.71,1064.82,1037.8,1048.91,1070.23,1082.88,1067.73,1038.75,1025.14,1035.21,1050.33,1027.28,1034.19,1002.23,1014.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Rangers,957.53,977.81,998.21,990.19,979.24,971.84,981.63,972.22,963.21,944.56,955.16,964.07,972.93,969.46,993.35,964.23,981.05,1009.48,1021.07,1007.92,995.18,982.69,969.74,979.33,999.22,1025.29,1009.19,1024.58,1040.91,1032.88,1019.71,993.93,1005.45,984.97,959.03,968.63,982.19,969.72,997.21,982.09,972.42,952.59,982.18,969.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa Senators,1004.69,990.45,976.93,962.67,971.9,964.3,956.62,966.15,990.45,1007.77,988.06,994.45,987.94,977.83,991.58,1009.38,997.18,1016.9,1005.1,1019.17,1030.7,1017.5,1028.24,1011.45,990.51,1011.48,995.15,979.44,966.45,984.97,975.77,987.54,1008.54,1020.21,1044.33,1031.54,1011.63,986.8,999.54,1011.45,993.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,1010.69,1003.11,1019.11,1000.87,1009.99,1024.05,1014.52,1022.72,1031.16,1042.1,1025.92,1015.16,1016.68,1029.0,1015.25,1001.42,1010.86,989.48,998.14,1020.48,1001.86,1019.54,1031.89,1049.5,1020.5,1039.65,1031.9,1050.71,1037.0,1025.31,1014.42,1033.92,1013.95,1000.39,1019.17,1029.88,1003.56,1020.65,995.91,1018.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,1019.11,1027.0,1006.6,996.4,1007.37,1018.82,1031.14,1041.69,1032.46,1042.0,1033.56,1046.03,1028.95,1028.49,1044.55,1032.6,1018.38,1001.85,1018.81,991.72,980.04,997.56,1007.76,976.11,1005.11,1020.47,1011.94,1001.15,982.23,970.63,958.52,943.89,922.89,903.51,919.08,900.26,923.78,956.74,971.36,994.99,1006.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Sharks,981.95,972.06,958.99,946.3,934.85,928.26,937.27,928.56,938.58,931.69,949.35,962.34,953.15,983.99,998.52,1015.16,1025.88,1002.55,980.53,992.74,1005.7,994.17,1012.84,995.79,1005.55,991.66,1010.49,987.92,974.16,998.79,979.98,993.74,1005.34,1025.3,1011.72,988.45,960.65,980.68,991.73,1008.29,991.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Kraken,1017.73,1024.02,1016.3,1007.07,1015.2,1001.14,988.19,1000.44,1008.33,1001.35,992.49,1005.38,974.54,984.84,973.08,961.11,981.86,1003.88,986.76,1000.99,1012.67,1001.52,991.88,963.79,936.04,924.26,909.4,925.31,909.64,894.98,889.4,876.37,899.64,921.57,935.08,961.4,948.25,972.74,983.07,1009.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis Blues,925.7,938.83,951.75,931.44,946.9,939.4,928.76,920.39,910.85,901.56,893.8,888.58,921.18,899.45,924.95,914.65,926.17,916.73,899.8,890.15,881.49,899.03,889.44,881.56,898.35,912.9,899.14,884.16,899.87,915.17,901.12,876.52,891.36,873.88,888.71,879.11,914.7,901.93,917.16,906.44,899.17,913.51,936.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,1118.45,1101.72,1107.8,1097.51,1088.07,1077.51,1066.2,1071.25,1077.17,1086.76,1093.79,1103.27,1013.03,1035.32,1045.89,1017.46,1034.08,1003.35,1031.58,1040.28,1056.86,1075.48,1091.58,1105.02,1121.12,1105.07,1089.71,1070.6,1050.78,1072.42,1089.14,1076.49,1052.04,1037.32,1055.89,1068.66,1084.67,1094.42,1101.47,1112.42,1129.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,1012.83,998.36,990.67,1005.39,1012.79,1004.66,990.16,980.56,990.2,996.69,983.21,999.39,1014.25,1033.01,1015.46,1005.55,990.19,978.92,968.63,978.28,966.31,944.85,957.29,944.67,976.32,997.26,1025.0,1011.61,1031.43,1017.67,996.42,1005.92,984.06,965.42,951.95,970.77,990.68,979.5,1001.31,1009.95,997.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Mammoth,983.69,992.24,977.69,988.32,1001.01,1008.88,1021.5,1032.14,1048.25,1053.96,1037.12,1027.64,1050.92,1032.16,1008.63,990.83,1008.57,996.92,986.54,974.33,955.03,967.98,994.71,982.08,973.39,958.84,940.01,981.4,997.7,978.52,963.16,951.89,967.56,979.67,962.35,985.66,973.19,983.97,978.82,966.95,998.91,974.6,986.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver Canucks,924.34,915.21,902.29,918.98,927.11,937.5,925.18,917.92,912.78,922.48,911.88,919.64,908.41,970.14,949.82,963.58,955.66,942.09,934.01,964.74,945.69,933.95,913.29,930.15,920.39,911.04,905.23,888.93,913.27,892.08,881.96,897.03,922.97,951.95,966.83,948.05,928.02,941.17,924.08,913.75,903.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegas Golden Knights,932.8,942.13,935.84,948.23,957.65,974.93,992.28,978.62,972.7,989.59,984.36,1038.27,1015.98,1006.45,993.37,981.84,998.77,986.43,999.17,1018.47,1007.61,980.88,970.14,950.49,964.38,977.22,998.79,1011.96,1000.85,1014.56,1023.05,1008.83,986.6,975.91,1003.71,998.21,984.25,967.77,953.43,939.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Capitals,985.52,997.52,1005.54,1015.83,1034.23,1023.84,1036.79,1051.2,1026.9,1019.13,1006.69,999.11,1009.8,993.74,983.17,1009.97,987.89,978.2,992.13,1010.51,1032.19,1015.61,1037.09,1048.31,1060.93,1079.12,1092.65,1115.22,1099.62,1109.93,1095.26,1060.89,1037.03,1058.89,1033.55,1020.63,993.14,1003.95,988.39,1008.22,995.48,979.68,997.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg Jets,876.38,887.17,905.18,923.42,939.93,947.67,935.42,946.09,940.38,949.92,963.6,980.68,1058.42,1043.89,1026.32,1039.89,1019.14,1027.57,1046.6,1034.88,1014.56,1003.34,980.48,996.49,970.47,958.54,980.25,956.21,949.82,934.64,969.01,957.24,942.41,937.61,926.83,920.64,909.41,901.29,892.65,880.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
